,Name,Span,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Average,Econ,SR,4 Wkts,5 Wkts
0,Shahid Afridi (ICC/PAK),2006-2018,99,97,361.2,4,2396,98,4/11,24.44,6.63,22.1,3,0
1,SL Malinga (SL),2006-2019,70,70,249.5,0,1834,94,5/31,19.51,7.34,15.9,1,1
2,Shakib Al Hasan (BDESH),2006-2018,72,71,261.5,1,1775,88,5/20,20.17,6.77,17.8,3,1
3,Umar Gul (PAK),2007-2016,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1,4,2
4,Saeed Ajmal (PAK),2009-2015,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0
5,Mohammad Nabi (AFG),2010-2018,65,65,227.4,5,1625,67,4/10,24.25,7.13,20.3,3,0
6,TG Southee (NZ),2008-2019,58,56,204.0,2,1748,67,5/18,26.08,8.56,18.2,0,1
7,BAW Mendis (SL),2008-2014,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2
8,KMDN Kulasekara (SL),2008-2017,58,58,205.1,6,1530,66,4/31,23.18,7.45,18.6,2,0
9,SCJ Broad (ENG),2006-2014,56,55,195.3,2,1491,65,4/24,22.93,7.62,18.0,1,0
10,Rashid Khan (AFG/ICC),2015-2018,35,35,132.0,1,794,64,5/3,12.40,6.01,12.3,2,1
11,Imran Tahir (SA/World),2013-2018,37,37,136.5,0,927,62,5/23,14.95,6.77,13.2,2,2
12,GH Dockrell (IRE),2010-2019,55,51,174.4,1,1152,61,4/20,18.88,6.59,17.1,1,0
13,DW Steyn (SA),2007-2016,42,42,150.1,2,1009,58,4/9,17.39,6.71,15.5,2,0
14,KJ O'Brien (IRE),2008-2019,68,50,148.3,0,1099,58,4/45,18.94,7.40,15.3,1,0
15,NL McCullum (NZ),2007-2016,63,59,187.1,0,1278,58,4/16,22.03,6.82,19.3,2,0
16,S Badree (WI/World),2012-2018,52,52,191.0,4,1180,56,4/15,21.07,6.17,20.4,1,0
17,Mohammad Amir (PAK),2009-2019,42,42,156.0,5,1066,55,4/13,19.38,6.83,17.0,1,0
18,Mohammad Hafeez (PAK),2006-2018,89,67,186.1,2,1226,54,4/10,22.70,6.58,20.6,1,0
19,Sohail Tanvir (PAK),2007-2017,57,57,202.2,3,1454,54,3/12,26.92,7.18,22.4,0,0
20,R Ashwin (INDIA),2010-2017,46,46,171.0,2,1193,52,4/8,22.94,6.97,19.7,2,0
21,DJ Bravo (WI),2006-2016,66,56,173.4,0,1470,52,4/28,28.26,8.46,20.0,2,0
22,GP Swann (ENG),2008-2012,39,38,135.0,4,859,51,3/13,16.84,6.36,15.8,0,0
23,NLTC Perera (ICC/SL/World),2010-2019,76,63,172.4,1,1583,51,3/24,31.03,9.16,20.3,0,0
24,SP Narine (WI),2012-2017,48,46,171.4,1,1034,50,4/12,20.68,6.02,20.6,1,0
25,Mustafizur Rahman (BDESH),2015-2018,30,30,110.3,3,848,48,5/22,17.66,7.67,13.8,1,1
26,JJ Bumrah (INDIA),2016-2018,40,40,145.1,5,983,48,3/11,20.47,6.77,18.1,0,0
27,SR Watson (AUS),2006-2016,58,49,155.0,2,1187,48,4/15,24.72,7.65,19.3,1,0
28,M Morkel (SA/World),2007-2017,44,44,158.4,3,1191,47,4/17,25.34,7.50,20.2,2,0
29,YS Chahal (INDIA),2016-2019,29,29,113.3,1,897,45,6/25,19.93,7.90,15.1,2,1
30,Ahsan Malik (NL),2012-2017,31,29,95.5,1,730,44,5/19,16.59,7.61,13.0,1,1
31,Shadab Khan (PAK),2017-2019,32,32,119.3,1,818,44,4/14,18.59,6.84,16.2,1,0
32,Abdur Razzak (BDESH),2006-2014,34,33,121.4,4,838,44,4/16,19.04,6.88,16.5,1,0
33,DJG Sammy (WI/World),2007-2017,68,59,152.4,0,1116,44,5/26,25.36,7.31,20.8,1,1
34,Mudassar Bukhari (NL),2008-2016,38,35,117.2,4,780,43,4/7,18.13,6.64,16.3,3,0
35,IS Sodhi (NZ),2014-2019,33,32,116.3,0,898,43,3/18,20.88,7.70,16.2,0,0
36,KD Mills (NZ),2005-2014,42,42,149.3,1,1228,43,3/26,28.55,8.21,20.8,0,0
37,Mashrafe Mortaza (BDESH),2006-2017,54,53,189.5,1,1527,42,4/19,36.35,8.04,27.1,1,0
38,WD Parnell (SA),2009-2017,40,39,124.5,3,1038,41,4/13,25.31,8.31,18.2,1,0
